	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	Prevotella_copri_clade_C	GGB1680_SGB2312	Bacteroides_ilei	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	Dysgonomonas_mossii	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Prevotella_SGB48271	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	Lactobacillus_acidophilus	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143	GGB28645_SGB41268
CSM5FZ4C_P	0.143049339	0.040930047	0.259982698	0	0	0	0	0.171286404	0	0	0.022556352	0	0	0.029293712	0.224134661	3.93231E-05	0	0	0	0.051457423	0	0	0	0.019177753	6.73098E-05	0	0	0	0	0	0	0	0	0.012134546	0	0	0.000423934	0.006797112	0	0	0.000262981	1.3462E-05	0	0	0	0	0.000246094	0	0.001741671	0	0	0	0.000288015	0	0	0	0	0.000638499	0	0.000140996	0	0	0	0	0	0	0	0.002311089	0	7.48674E-05	0	0	0	0	0	0.000978236	0	0	0	0	0.000536235	0.001459206	0	0	0	0.004468901	9.13997E-05	0	0	0	0	0.000512263	1.66503E-05	0	0	0	0	9.39976E-05	0	0.000793902	0	0	0	0.001340292	0	0	0.000800869	0	0	0	0	0	0.000124936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001734822	0	0	0	0
CSM5FZ4E_P	0.002620453	0.049993541	0.351254624	0	0	0.132781302	0.149763535	0	0	0.062171748	0.000505988	0.03469887	0.000387415	0	0.022099786	0	0	0.034551719	4.6972E-05	0	0	0	0	0	2.72271E-05	0	0	0	0.003221008	0	0.000241199	0.012419926	0	0.000612922	0	0	6.94187E-05	0.002609749	0.036776444	0	0	0.000211062	0.003139847	0	0.006329679	2.43173E-05	0	0	0	0	0	0	0.001007507	0.002545735	1.20547E-05	0	0	0.000758202	0	0.001488762	0	0	0	0	0.045118954	0	0	0.000594736	0	0.001453325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005709171	0.002124754	0.003968922	0	0	0	0.000407471	0	0	0	0	0	0	0	0.00198124	0	0.000491127	0.002873707	0	0	6.45345E-05	0.001070898	0.000221558	0	0	5.44542E-05	0	0.001415498	0	0	1.8186E-05	0	0	0	0	0	9.21773E-05	0	0	0.007354437	0	0	0	0	0	0	5.19601E-06	0	0	0	0	0.000201917	0	0	0	0.001189887	0.001261592	0	0	0	0.009955249	0	0	0	0	0
CSM5FZ4G_P	0.000146932	0.203982787	0.189312305	0	2.88143E-05	0.186681098	0.095797441	0	0	0.082328895	1.37715E-05	0.010406184	0.000218755	0	0.023041023	0	0	0.016184819	0	0	0	0	0	0	3.86662E-05	0	0	6.47261E-05	0.014384669	0	0	0.021592788	0	0.002500378	0	0	4.50223E-05	0.005315489	0.063740946	0	0	0	0.00167896	0	0.005069508	1.23944E-05	0	0	0	0	0	0	0.002169332	0.001065492	0.000331682	0	0	6.22896E-05	0	0.00204952	0	0	0	0	0.023434782	0	0	0.001700041	0	0.002364994	0	0	0	0	0	0	0	0	0	0	0	0	0.000686987	0	0	0.007350813	0.001246322	0.001132972	0	0	0	0.000202441	0	0	0	0	0	0	0	0.002320819	0	0.000398209	0.00202007	0.000376704	0	8.2735E-05	0.000319181	0.000386662	0	0	0	0	0.000558382	0	0	3.28398E-05	0	0	0	0	0	0.000157525	0	0	0.009618241	0	0	0	0	0	0	0.002456309	0	0	0	0	0.000157631	0	0	0.000287295	0.000911039	0.002252279	0	0	0	0.011280039	0	0	0	0	0
CSM5FZ4K_P	0.000110156	0.140290086	0.230070662	1.76917E-05	0	0.250840021	0.074119772	0	0	0.071326824	0	0.009185985	0.000129516	0	0.010037188	0	0	0.027376365	0	0	0	0	0	0	0	0	0	0	0.001869532	0	0	0.005331314	0	0.005902566	0	0	0.000172132	0.005991469	0.040131172	0	0	0	0.001818793	0	0.00553271	0	0.000632004	0	0	0	0	0	0.002871281	0.000236112	0.00020529	0	0	0.000770756	0	0.001419228	0	0	0	0	0.040645566	0	0	0.000130184	0	0.004214847	0	0	0	0	0	0	0	0	0	0	0	0	0.000902053	0	0	0.009144259	0.002207342	0.002035433	0	0	0	0.00030966	0	0	0	0	0	0	0	0.010814732	0	0.001742241	0.000109377	0.002475944	0	0.000166124	0.000432945	0.002643626	0	0	0	0	0.000675177	0	0	2.53692E-05	0	0	0	0	0	0.000438175	0	0	0.011951895	0	0	0	0	0	0	0.001199362	0	0	0	0	0.000769977	0	0	9.89176E-05	0.000384766	0.003946913	0	0	0	0.016146491	0	0	0	0	0
CSM5FZ4M	0.000129679	0.080332324	0.246457598	0	0	0.364220678	0.124463684	0	0	0.039912979	0	0.045100866	0.000135854	0	0.015694368	0	0	0.004551121	0	0	0.000362587	0	0	0	0	0	0	0	0.001344546	0	0	0.003971681	0	0.001656394	0	0	0	0.001777325	0.00685694	0	0	0	0.002074249	0	0.005454449	0	0	0	0	0	0	0	0.001214867	0.000426603	0	0	0	0	0	0.000296718	0	0	0	0	0.015195515	0	0	0.000536933	0	0.002421501	0	0	0	0	0	0	0	0	0	0	0	0	0.003388022	0	0	0.001972358	0.000936366	0.000988649	0	0	0	1.9246E-05	0	0	0	0	0	0	0	0.001428529	0	5.62972E-05	0.000176611	0.000549181	0	0	0	0.002103478	0	0	0	0	0.001569324	0	0	0	0	0	0	0	0	0.000137913	0	0	0.005885684	0	0	0	0	0	0	0	0	0	0	0	0.000437822	0	0	0	0.000457685	0.001036507	0	0	0	0.014266868	0	0	0	0	0
CSM5LLGB_P	0.466296177	0.046729845	0.000656985	0	0	0.012400407	7.4531E-05	0	0.057284218	0.000548971	0	4.81671E-05	0	0.027676265	9.01047E-06	0.094938186	0	0	0.000122809	0.000923072	0.001294059	0	1.83547E-05	0.012317755	0	0	0.046478998	4.23826E-05	0	0	0	0	0	0.032270269	0	0.000126035	0.000252961	0.031919973	0.035546297	0.000228043	0.003588725	0	0	0	0	0	0.009860122	0	0.009381232	0	0	0	0.0077658	1.89109E-06	0	0	0	0	0	0.006568298	0	0.001804652	0	0	0	0.000972463	0	6.35182E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.005795288	0	0	0	1.70198E-05	0	0	0	0	3.4707E-05	0	0.001799869	0.03655013	3.28159E-05	0	0	0	0.00020357	0	0.00851111	0.000829631	0.001291723	0	0	0	0.002303454	0.000638297	0.020611502	0	0	0	0	0	0	0	5.45078E-05	0	0	0.000832634	0	0	0	0	0	0	0	0	0	0	0	0.003968833	0	0	0	0	0	0	0.000509592	0	0.002728837	0.002117349	0	0.00295866	0	0	0	0	0	0	0	0
CSM5MCTZ_P	0.249318425	0.127570402	0.043016588	0	0.074139333	0.003416582	0.021581808	0.004864371	0.013178993	0.04587605	0.029742994	0.000892067	0.002510184	0	0.002363623	0	0	0.002065491	0.004882312	0	0	0.001866503	0.00900642	6.93196E-05	0.002223702	0.000603139	0.012529253	0.005153299	0	0.029676704	0	0	0	0.000469276	0	0	4.36888E-05	0.001133929	0.000744574	0	0.003267923	0.000999717	0.003100158	0.004677499	0	0	0.027570204	0	0.009811692	0	0	0	0.000162872	0	0.009762527	0.012088753	0	0.002453564	5.94168E-06	0.000103921	0.088589379	0.001861493	0.008203711	0.00213015	0	0	0	0	0	0.003126954	0	0	0.050059341	0	0	1.25824E-05	0	0	0	0	0	0.001412721	0.001363324	0	0.00018058	0.001369848	0.002206576	0.000551178	0	6.10478E-05	0	0	8.84262E-05	0	2.16697E-05	0	0	0.000466131	0	0.000696458	0.000556304	0.000859679	0.00080702	0	0	0	0.000343569	0.002201916	0	0	0	0	0.000278327	0.055807158	0	9.78629E-06	0	0	0.00051646	0	0	5.84848E-05	0	0	0.007790706	0.003660074	0	0	0	0	0.000357549	0	0	0	0	0.000193046	0	0	0	0	9.04067E-05	0.000579372	0	0	0.000250716	0	0.000294055	0	0	0	0
CSM5MCU4_P	0.000171094	0	3.21013E-05	0	0	0.665437808	0	0	0	0	0	0	0	0.002837977	0	0	0	0	0	0	0	0	0	0	0	0	0.005348296	0	0	0	0	0.013754772	0	0.030193435	0	0	0.027515289	0.004221936	0.00682349	0	0.014939478	0	0.020915269	0	0	0	0	0	0.001788435	0	0	0	0	0.001984309	0	0	0	0.000396817	0	0.000626707	0	0	0	0.012212673	0	0	0	0	0	0	0	0	0	0	0	0.010604005	0	0	0	0	0	0	0	0	0	0.009418173	0.003305754	0	0	0	0.157409732	0	0	0	0	0	0	7.15239E-05	0	0.000560477	0	0.0008486	0	0	0	0.005220341	0.000570952	0	0	0	0	0	0	0	0	0.000173347	0	0	0	0	0	0.000522969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001935875	0	0	0	0	0	0	0	0	0.000158366	0	0
CSM5MCU8_P	0.169113961	0.016887846	0.131985372	0	0.088069519	3.26538E-05	0.015795208	0.002009693	0.010206239	0.001829823	0.017703202	0.005145888	0.000707499	4.92556E-05	0	0	0	0.000207357	0.014634623	0.097088237	0	4.94755E-05	4.99152E-05	0.000325878	0.000656594	0.002284227	0.002506977	0	0.001499546	0	0.013762646	0.112717317	0	0.030757908	0.000298392	0	0.004933144	0.03230704	0.000364029	0	0	0	0	0	0	0.00254183	0.013110779	0	0.000328187	0	0	0	0.000827999	0.001906125	0	0	0	0.003259774	0	0.00736019	0	0	0	0.050160427	0	0	0	0	0	0.00110946	0	0	0	0	0	0	0	0	0	0	0	0.004233011	0	0	0.002417811	0.024882312	0.013157616	0.003453168	0	5.50827E-05	0	0.001319016	0.007877484	0	0	0	0	4.8376E-05	0	0	0	7.69618E-06	0.031242218	0.002393403	2.27587E-05	0.000104008	0.00498185	1.66018E-05	0	0	0	0	0.033054339	0	0	3.84809E-06	0	0	1.48426E-05	0	0	0	0	0	0	0.001104292	0	0	0	0	0.003611379	0	0	0	0	0.007268496	0	0	0	0	0.004146154	0	0	0	0	0	0	0	0	0	0
CSM5MCUA_P	0.257311459	0.001148299	0.212622921	0	0.229450017	7.74465E-05	0.039417611	0	0.020694243	0	0.028720356	0.011184163	7.76495E-05	0	0	0	0	0	0.024512059	0.012026126	0	0.000152457	0	0	0.006178665	0.000166261	6.40481E-05	0	0	0	0.023898781	0.037315391	0	0.01271269	0.00101736	0	0.00074716	0.017250159	0	0	0	0	0	0	0	0.016799894	0.00017225	0	0.000164637	0	0	0	0.001335672	0.000352011	0	0	0	0.000221783	0	0.001067198	0	0	0	0.01136301	0	0	0	0	0	0.000184024	0	0	0	0	0	0	0	0	0	0	0	0.000675906	0	0	9.15553E-05	0.007943794	0.001764419	0.001556136	0	0	0	0	0.000323286	0	0	0	0	0	0	0	0	0	0.006519612	0.000159461	0	0	0.00091464	0	0	0	0	0	0.002720979	0	0	1.54284E-05	0	0	0	0	0	0	0	0	0	0.000231121	0	0	0	0	0.000359421	0	0	0	0	0.007197446	0	0	0	0	0.001120994	0	0	0	0	0	0	0	0	0	0
