	Metadata_1	Metadata_2	Metadata_3	Metadata_4	Metadata_5	ID
Sample62	0	0	-0.730142875	0.278193561	0	Subject62
Sample63	1	0	-0.046845747	-0.086875354	1	Subject63
Sample64	1	1	0.702861978	-0.582190098	1	Subject64
Sample65	0	1	-0.51921838	1.430755293	1	Subject65
Sample66	0	0	-0.581484185	-0.355899667	0	Subject66
Sample67	1	1	-0.092649097	-1.80347188	0	Subject67
Sample68	1	0	1.079846791	1.255300785	1	Subject68
Sample69	1	0	1.091787758	1.005035715	0	Subject69
Sample70	1	1	0.041610067	-0.639518844	0	Subject70
Sample71	0	0	-0.471181116	-0.778365986	0	Subject71
Sample72	0	0	2.168896145	0.113057747	0	Subject72
Sample73	0	0	-0.502984662	0.173598368	1	Subject73
Sample74	1	1	-0.47756191	0.472562508	0	Subject74
Sample75	0	1	-0.920926078	1.630335846	1	Subject75
Sample76	1	0	-0.092140271	0.601228791	1	Subject76
Sample77	1	0	-0.056807133	-0.562484689	1	Subject77
Sample78	0	1	-1.409220351	0.235079914	1	Subject78
Sample79	0	0	-0.283507059	1.149641053	0	Subject79
Sample80	0	0	1.203775408	0.159147773	1	Subject80
Sample81	1	0	-0.876874298	0.166536418	1	Subject81
Sample82	0	0	0.885144272	-2.046625023	1	Subject82
Sample83	1	0	1.312567377	1.213580655	0	Subject83
Sample84	1	1	1.132788833	-0.667258628	0	Subject84
Sample85	0	0	-0.452364904	1.294569957	1	Subject85
Sample86	1	0	-1.106013815	-0.353365985	0	Subject86
Sample87	0	1	-1.791014763	0.725791331	1	Subject87
Sample88	0	0	1.047695586	-0.132333399	0	Subject88
Sample89	0	0	-0.464525345	-0.65532141	1	Subject89
Sample90	1	1	-1.038220721	-0.953986468	0	Subject90
Sample91	0	1	0.429730986	-0.204256401	1	Subject91
Sample92	0	1	-0.13748033	-1.288100917	0	Subject92
Sample93	1	0	1.948264817	-1.091257712	1	Subject93
Sample94	1	1	0.154540811	-0.922122463	1	Subject94
Sample95	1	1	0.771821597	-1.83975576	0	Subject95
Sample96	1	0	1.607876912	-0.597376497	0	Subject96
Sample97	1	0	-0.45211958	1.769007175	1	Subject97
Sample98	0	0	-0.85948572	-1.197712755	0	Subject98
Sample99	1	0	0.341877725	-1.122143852	0	Subject99
Sample100	0	0	-0.93731726	0.882399461	0	Subject100
